date,platform,posts,views,interactions
2025-07-10,Facebook,5,12000,850
2025-07-11,Facebook,6,15000,920
2025-07-12,Instagram,4,18000,1100
2025-07-13,Instagram,5,17500,1040
2025-07-14,TikTok,3,22000,2400
2025-07-15,TikTok,4,26000,2600
2025-07-16,X,2,8000,300
2025-07-17,X,3,9500,380
2025-07-18,YouTube,1,30000,2100
2025-07-19,YouTube,2,40000,3200
2025-07-20,Facebook,7,17000,1000
2025-07-21,Instagram,6,20000,1300
2025-07-22,TikTok,5,28000,2700
2025-07-23,X,4,10000,420
2025-07-24,YouTube,2,45000,3500
